Host,Date,Time,Method,Endpoint,Protocol,Status Code,Content Size,No of Requests
2415145644,16-Feb-23,03:28:45,4,/config/getuser?index=0,HTTP/1.1,6,248,62
2757421940,16-Feb-23,04:11:34,4,/,HTTP/1.1,0,5952,5
1123632510,16-Feb-23,04:39:52,4,/robots.txt,HTTP/1.1,7,146,20
1123632510,16-Feb-23,04:39:52,4,/assets/img/favicon.png,HTTP/1.1,0,491,20
3118324652,16-Feb-23,05:06:47,4,/.git/config,HTTP/1.1,7,548,1
1123632485,16-Feb-23,05:24:52,4,/apim/devportal/site/public/images/logo.svg,HTTP/1.1,5,0,3
883396698,16-Feb-23,06:26:16,4,/,HTTP/1.1,0,5952,19
2556019923,16-Feb-23,07:00:15,4,/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php,HTTP/1.1,7,548,84
1920435509,16-Feb-23,07:01:52,4,/robots.txt,HTTP/1.1,7,146,1
3323217250,16-Feb-23,07:26:00,4,/,HTTP/1.1,0,5952,10
3323217250,16-Feb-23,07:26:16,0,"""-",,6,0,10
3323217250,16-Feb-23,07:26:20,0,"""-",,6,0,10
3323217250,16-Feb-23,07:26:21,0,"""-",,6,0,10
3323217250,16-Feb-23,07:26:24,0,"""-",,6,0,10
3323217250,16-Feb-23,07:26:30,4,/robots.txt,HTTP/1.1,7,146,10
3323217250,16-Feb-23,07:26:32,4,/sitemap.xml,HTTP/1.1,7,146,10
3323217250,16-Feb-23,07:26:36,4,/.well-known/security.txt,HTTP/1.1,7,146,10
3323217250,16-Feb-23,07:26:40,4,/assets/img/favicon.png,HTTP/1.1,0,491,10
3323217250,16-Feb-23,07:26:45,0,"""-",,6,150,10
2556019923,16-Feb-23,07:39:40,4,/?XDEBUG_SESSION_START=phpstorm,HTTP/1.1,0,5952,84
3115618186,16-Feb-23,07:55:53,4,/cgi-bin/authLogin.cgi,HTTP/1.1,7,548,5
2556019923,16-Feb-23,08:37:37,4,/,HTTP/1.1,0,5952,84
860877189,16-Feb-23,08:45:29,4,/,HTTP/1.1,0,5952,4
860877189,16-Feb-23,08:45:29,4,/helppage.html,HTTP/1.1,0,6398,4
860877189,16-Feb-23,08:45:29,4,/documentation.html,HTTP/1.1,0,548,4
860877189,16-Feb-23,08:45:29,4,/apim/devportal/,HTTP/1.1,0,979,4
2415145644,16-Feb-23,09:33:06,4,/config/getuser?index=0,HTTP/1.1,6,248,62
2556019923,16-Feb-23,09:33:10,4,/actuator/gateway/routes,HTTP/1.1,7,548,84
3005976128,16-Feb-23,09:44:35,4,/.git/config,HTTP/1.1,7,548,1
1475129464,16-Feb-23,10:28:01,4,/,HTTP/1.1,0,5952,2
1475129355,16-Feb-23,10:28:02,4,/assets/img/apple-touch-icon.png,HTTP/1.1,0,1738,1
1475129587,16-Feb-23,10:28:02,4,/assets/img/favicon.png,HTTP/1.1,0,491,1
2892530456,16-Feb-23,10:31:39,0,"""-",,6,150,2
3029695912,16-Feb-23,11:17:12,4,/stalker_portal/server/tools/auth_simple.php,HTTP/1.1,7,548,2
3237070367,16-Feb-23,11:21:15,0,"""-",,6,150,1
3118549559,16-Feb-23,12:26:17,7,/cgi-bin/.%%%%32%%65/.%%%%32%%65/.%%%%32%%65/.%%%%32%%65/.%%%%32%%65/bin/sh,HTTP/1.1,6,150,5
2733870362,16-Feb-23,12:29:25,4,/,HTTP/1.1,0,5952,1
1806352399,16-Feb-23,12:35:58,4,/owa/auth/logon.aspx,HTTP/1.1,7,146,3
3056309346,16-Feb-23,12:45:47,4,/,HTTP/1.1,0,5952,2
3237074233,16-Feb-23,13:15:37,4,/,HTTP/1.1,6,248,1
1806352399,16-Feb-23,13:27:17,4,/ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application,HTTP/1.1,7,146,3
1806352399,16-Feb-23,13:38:57,4,/owa/auth/x.js,HTTP/1.1,7,146,3
580338691,16-Feb-23,13:48:43,6,/,HTTP/1.0,8,150,1
1509467017,16-Feb-23,13:49:01,0,"""-",,6,150,2
1806361864,16-Feb-23,13:55:07,0,"""-",,6,150,1
2050150420,16-Feb-23,14:07:09,4,/robots.txt,HTTP/1.1,7,548,282
