Host,Time Stamp,Method,Endpoint,Protocol,Status Code,Content Size
143.244.50.172,16/Feb/2023:03:28:45,GET,/config/getuser?index=0,HTTP/1.1,400,248.0
164.90.235.116,16/Feb/2023:04:11:34,GET,/,HTTP/1.1,200,5952.0
66.249.69.126,16/Feb/2023:04:39:52,GET,/robots.txt,HTTP/1.1,404,146.0
66.249.69.126,16/Feb/2023:04:39:52,GET,/assets/img/favicon.png,HTTP/1.1,200,491.0
185.221.219.172,16/Feb/2023:05:06:47,GET,/.git/config,HTTP/1.1,404,548.0
66.249.69.101,16/Feb/2023:05:24:52,GET,/apim/devportal/site/public/images/logo.svg,HTTP/1.1,304,0.0
52.167.144.90,16/Feb/2023:06:26:16,GET,/,HTTP/1.1,200,5952.0
152.89.196.211,16/Feb/2023:07:00:15,GET,/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php,HTTP/1.1,404,548.0
114.119.133.53,16/Feb/2023:07:01:52,GET,/robots.txt,HTTP/1.1,404,146.0
198.20.69.98,16/Feb/2023:07:26:00,GET,/,HTTP/1.1,200,5952.0
198.20.69.98,16/Feb/2023:07:26:16,"-""","""-",,400,0.0
198.20.69.98,16/Feb/2023:07:26:20,"-""","""-",,400,0.0
198.20.69.98,16/Feb/2023:07:26:21,"-""","""-",,400,0.0
198.20.69.98,16/Feb/2023:07:26:24,"-""","""-",,400,0.0
198.20.69.98,16/Feb/2023:07:26:30,GET,/robots.txt,HTTP/1.1,404,146.0
198.20.69.98,16/Feb/2023:07:26:32,GET,/sitemap.xml,HTTP/1.1,404,146.0
198.20.69.98,16/Feb/2023:07:26:36,GET,/.well-known/security.txt,HTTP/1.1,404,146.0
198.20.69.98,16/Feb/2023:07:26:40,GET,/assets/img/favicon.png,HTTP/1.1,200,491.0
198.20.69.98,16/Feb/2023:07:26:45,"-""","""-",,400,150.0
152.89.196.211,16/Feb/2023:07:39:40,GET,/?XDEBUG_SESSION_START=phpstorm,HTTP/1.1,200,5952.0
185.180.143.138,16/Feb/2023:07:55:53,GET,/cgi-bin/authLogin.cgi,HTTP/1.1,404,548.0
152.89.196.211,16/Feb/2023:08:37:37,GET,/,HTTP/1.1,200,5952.0
51.79.241.133,16/Feb/2023:08:45:29,GET,/,HTTP/1.1,200,5952.0
51.79.241.133,16/Feb/2023:08:45:29,GET,/helppage.html,HTTP/1.1,200,6398.0
51.79.241.133,16/Feb/2023:08:45:29,GET,/documentation.html,HTTP/1.1,200,548.0
51.79.241.133,16/Feb/2023:08:45:29,GET,/apim/devportal/,HTTP/1.1,200,979.0
143.244.50.172,16/Feb/2023:09:33:06,GET,/config/getuser?index=0,HTTP/1.1,400,248.0
152.89.196.211,16/Feb/2023:09:33:10,GET,/actuator/gateway/routes,HTTP/1.1,404,548.0
179.43.142.64,16/Feb/2023:09:44:35,GET,/.git/config,HTTP/1.1,404,548.0
87.236.176.120,16/Feb/2023:10:28:01,GET,/,HTTP/1.1,200,5952.0
87.236.176.11,16/Feb/2023:10:28:02,GET,/assets/img/apple-touch-icon.png,HTTP/1.1,200,1738.0
87.236.176.243,16/Feb/2023:10:28:02,GET,/assets/img/favicon.png,HTTP/1.1,200,491.0
172.104.131.24,16/Feb/2023:10:31:39,"-""","""-",,400,150.0
180.149.125.168,16/Feb/2023:11:17:12,GET,/stalker_portal/server/tools/auth_simple.php,HTTP/1.1,404,548.0
192.241.198.31,16/Feb/2023:11:21:15,"-""","""-",,400,150.0
185.225.74.55,16/Feb/2023:12:26:17,POST,/cgi-bin/.%%%%32%%65/.%%%%32%%65/.%%%%32%%65/.%%%%32%%65/.%%%%32%%65/bin/sh,HTTP/1.1,400,150.0
162.243.141.26,16/Feb/2023:12:29:25,GET,/,HTTP/1.1,200,5952.0
107.170.192.15,16/Feb/2023:12:35:58,GET,/owa/auth/logon.aspx,HTTP/1.1,404,146.0
182.43.148.98,16/Feb/2023:12:45:47,GET,/,HTTP/1.1,200,5952.0
192.241.213.57,16/Feb/2023:13:15:37,GET,/,HTTP/1.1,400,248.0
107.170.192.15,16/Feb/2023:13:27:17,GET,/ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application,HTTP/1.1,404,146.0
107.170.192.15,16/Feb/2023:13:38:57,GET,/owa/auth/x.js,HTTP/1.1,404,146.0
34.151.68.3,16/Feb/2023:13:48:43,OPTIONS,/,HTTP/1.0,405,150.0
89.248.163.137,16/Feb/2023:13:49:01,"-""","""-",,400,150.0
107.170.229.8,16/Feb/2023:13:55:07,"-""","""-",,400,150.0
122.50.208.20,16/Feb/2023:14:07:09,GET,/robots.txt,HTTP/1.1,404,548.0
122.50.208.20,16/Feb/2023:14:07:09,GET,/,HTTP/1.1,200,5952.0
122.50.208.20,16/Feb/2023:14:07:10,GET,/assets/vendor/venobox/venobox.css,HTTP/1.1,200,20309.0
122.50.208.20,16/Feb/2023:14:07:10,GET,/assets/vendor/icofont/icofont.min.css,HTTP/1.1,200,92208.0
122.50.208.20,16/Feb/2023:14:07:10,GET,/assets/vendor/bootstrap/css/bootstrap.min.css,HTTP/1.1,200,161409.0
122.50.208.20,16/Feb/2023:14:07:10,GET,/assets/vendor/owl.carousel/assets/owl.carousel.min.css,HTTP/1.1,200,3351.0
122.50.208.20,16/Feb/2023:14:07:10,GET,/assets/vendor/boxicons/css/boxicons.min.css,HTTP/1.1,200,63235.0
122.50.208.20,16/Feb/2023:14:07:10,GET,/assets/vendor/remixicon/remixicon.css,HTTP/1.1,200,110438.0
122.50.208.20,16/Feb/2023:14:07:10,GET,/assets/vendor/aos/aos.css,HTTP/1.1,200,26053.0
122.50.208.20,16/Feb/2023:14:07:10,GET,/assets/css/style.css,HTTP/1.1,200,35417.0
122.50.208.20,16/Feb/2023:14:07:10,GET,/js/multipage.js,HTTP/1.1,200,956.0
122.50.208.20,16/Feb/2023:14:07:10,GET,/assets/vendor/jquery/jquery.min.js,HTTP/1.1,200,89476.0
122.50.208.20,16/Feb/2023:14:07:10,GET,/assets/vendor/bootstrap/js/bootstrap.bundle.min.js,HTTP/1.1,200,84378.0
122.50.208.20,16/Feb/2023:14:07:10,GET,/js/jquery.js,HTTP/1.1,200,106323.0
122.50.208.20,16/Feb/2023:14:07:10,GET,/assets/vendor/jquery.easing/jquery.easing.min.js,HTTP/1.1,200,2532.0
122.50.208.20,16/Feb/2023:14:07:10,GET,/assets/vendor/php-email-form/validate.js,HTTP/1.1,200,5020.0
122.50.208.20,16/Feb/2023:14:07:10,GET,/assets/vendor/waypoints/jquery.waypoints.min.js,HTTP/1.1,200,9028.0
122.50.208.20,16/Feb/2023:14:07:10,GET,/assets/vendor/counterup/counterup.min.js,HTTP/1.1,200,2406.0
122.50.208.20,16/Feb/2023:14:07:10,GET,/assets/vendor/venobox/venobox.min.js,HTTP/1.1,200,15022.0
122.50.208.20,16/Feb/2023:14:07:10,GET,/assets/vendor/isotope-layout/isotope.pkgd.min.js,HTTP/1.1,200,35445.0
122.50.208.20,16/Feb/2023:14:07:10,GET,/assets/vendor/owl.carousel/owl.carousel.min.js,HTTP/1.1,200,44342.0
122.50.208.20,16/Feb/2023:14:07:10,GET,/assets/vendor/aos/aos.js,HTTP/1.1,200,14690.0
122.50.208.20,16/Feb/2023:14:07:10,GET,/assets/js/main.js,HTTP/1.1,200,6330.0
122.50.208.20,16/Feb/2023:14:07:10,GET,/js/multipage.js,HTTP/1.1,200,956.0
122.50.208.20,16/Feb/2023:14:07:10,GET,/assets/vendor/jquery/jquery.min.js,HTTP/1.1,200,89476.0
122.50.208.20,16/Feb/2023:14:07:10,GET,/assets/vendor/jquery.easing/jquery.easing.min.js,HTTP/1.1,200,2532.0
122.50.208.20,16/Feb/2023:14:07:10,GET,/assets/vendor/bootstrap/js/bootstrap.bundle.min.js,HTTP/1.1,200,84378.0
122.50.208.20,16/Feb/2023:14:07:11,GET,/assets/vendor/php-email-form/validate.js,HTTP/1.1,200,5020.0
122.50.208.20,16/Feb/2023:14:07:11,GET,/assets/vendor/waypoints/jquery.waypoints.min.js,HTTP/1.1,200,9028.0
122.50.208.20,16/Feb/2023:14:07:11,GET,/js/jquery.js,HTTP/1.1,200,106323.0
122.50.208.20,16/Feb/2023:14:07:11,GET,/faq.html,HTTP/1.1,200,4212.0
122.50.208.20,16/Feb/2023:14:07:11,GET,/about.html,HTTP/1.1,200,2729.0
122.50.208.20,16/Feb/2023:14:07:11,GET,/hero.html,HTTP/1.1,200,6789.0
122.50.208.20,16/Feb/2023:14:07:11,GET,/assets/vendor/counterup/counterup.min.js,HTTP/1.1,200,2406.0
122.50.208.20,16/Feb/2023:14:07:11,GET,/assets/vendor/venobox/venobox.min.js,HTTP/1.1,200,15022.0
122.50.208.20,16/Feb/2023:14:07:11,GET,/contact.html,HTTP/1.1,200,5487.0
122.50.208.20,16/Feb/2023:14:07:11,GET,/assets/js/main.js,HTTP/1.1,200,6330.0
122.50.208.20,16/Feb/2023:14:07:11,GET,/assets/vendor/aos/aos.js,HTTP/1.1,200,14690.0
122.50.208.20,16/Feb/2023:14:07:11,GET,/assets/vendor/isotope-layout/isotope.pkgd.min.js,HTTP/1.1,200,35445.0
122.50.208.20,16/Feb/2023:14:07:11,GET,/assets/vendor/owl.carousel/owl.carousel.min.js,HTTP/1.1,200,44342.0
122.50.208.20,16/Feb/2023:14:07:11,GET,/assets/vendor/icofont/fonts/icofont.woff2,HTTP/1.1,200,537868.0
